lastname,firstname,team,points,games,liga_id,league_name,season,bezirk
2.,Lange,Michael,1.FC 01 Bamberg,407,245,Bezirksliga,2003,Oberfranken
3.,Lohneis,Rüdiger,TSV Breitengüßbach 4,403,245,Bezirksliga,2003,Oberfranken
4.,Wich,Alexander,ATS Kulmbach,388,245,Bezirksliga,2003,Oberfranken
5.,Kapp,Jürgen,VfL Jahn Bamberg,340,245,Bezirksliga,2003,Oberfranken
6.,Mobery,Thomas,BG Litzendorf,334,245,Bezirksliga,2003,Oberfranken
7.,Budig,Christoph,SpVgg Rattelsdorf 2,322,245,Bezirksliga,2003,Oberfranken
8.,Goppert,Wolfgang,TSV Breitengüßbach 4,321,245,Bezirksliga,2003,Oberfranken
9.,Wiesner,Holger,ATS Kulmbach,313,245,Bezirksliga,2003,Oberfranken
10.,Jakob,Martin,TTL Bamberg,298,245,Bezirksliga,2003,Oberfranken
11.,Waaden von,Gary Anthony,BBC Coburg,296,245,Bezirksliga,2003,Oberfranken
12.,Smith,Philipp,1. FC Baunach 2,296,245,Bezirksliga,2003,Oberfranken
13.,Hummel,Benedikt,VfL Jahn Bamberg,290,245,Bezirksliga,2003,Oberfranken
14.,Tritschel,Stephan,BSC Saas Bayreuth,280,245,Bezirksliga,2003,Oberfranken
15.,Hofmann,Philipp,TTL Bamberg,279,245,Bezirksliga,2003,Oberfranken
16.,Linsner,Benjamin,TTL Bamberg,269,245,Bezirksliga,2003,Oberfranken
17.,Fricke,Bernd,TTL Bamberg,265,245,Bezirksliga,2003,Oberfranken
18.,Neumann,Michael,BG Litzendorf,255,245,Bezirksliga,2003,Oberfranken
19.,Obrovski,Igor,BBC Coburg,254,245,Bezirksliga,2003,Oberfranken
20.,Lehner,Christoph,1.FC 01 Bamberg,248,245,Bezirksliga,2003,Oberfranken
21.,Gulden,Matthias,1.FC 01 Bamberg,247,245,Bezirksliga,2003,Oberfranken
22.,Aas,Mario,SpVgg Rattelsdorf 2,232,245,Bezirksliga,2003,Oberfranken
23.,Griebel,Ernst,TSV Breitengüßbach 4,231,245,Bezirksliga,2003,Oberfranken
24.,Merklinger,Marco,SpVgg Rattelsdorf 2,222,245,Bezirksliga,2003,Oberfranken
25.,Schlaug,Alfons,BG Litzendorf,222,245,Bezirksliga,2003,Oberfranken
26.,Glaser,Uwe,BSC Saas Bayreuth,214,245,Bezirksliga,2003,Oberfranken
27.,Smith,Darryl Stephen,1. FC Baunach 2,210,245,Bezirksliga,2003,Oberfranken
28.,Höhn,Alexander,ATS Kulmbach,200,245,Bezirksliga,2003,Oberfranken
29.,Becher,Manuel,BSC Saas Bayreuth,199,245,Bezirksliga,2003,Oberfranken
30.,Gatz,Sebastian,TTL Bamberg,192,245,Bezirksliga,2003,Oberfranken
31.,Rüger,Heiko,ATS Kulmbach,190,245,Bezirksliga,2003,Oberfranken
32.,Bretag,Rainer,1.FC 01 Bamberg,168,245,Bezirksliga,2003,Oberfranken
33.,Uch,Hans-Jürgen,TSV Breitengüßbach 4,163,245,Bezirksliga,2003,Oberfranken
34.,Güttler,Andreas,BSC Saas Bayreuth,162,245,Bezirksliga,2003,Oberfranken
35.,Schmidt,Martin,BSC Saas Bayreuth,162,245,Bezirksliga,2003,Oberfranken
36.,Seidenschnur,Ingmar,BBC Coburg,159,245,Bezirksliga,2003,Oberfranken
37.,Pelikan,Nils,1. FC Baunach 2,157,245,Bezirksliga,2003,Oberfranken
38.,Laberer,Markus,1. FC Baunach 2,151,245,Bezirksliga,2003,Oberfranken
39.,Feulner,André,SpVgg Rattelsdorf 2,148,245,Bezirksliga,2003,Oberfranken
40.,Heichel,Dominik,BG Litzendorf,139,245,Bezirksliga,2003,Oberfranken
41.,Berger,Markus,BSC Saas Bayreuth,138,245,Bezirksliga,2003,Oberfranken
42.,Terry,Steven,1. FC Baunach 2,137,245,Bezirksliga,2003,Oberfranken
43.,Korn,Wilfried,TSV Breitengüßbach 4,133,245,Bezirksliga,2003,Oberfranken
44.,Bötsch,Benedikt,1.FC 01 Bamberg,127,245,Bezirksliga,2003,Oberfranken
45.,Hofer,Jan Matthias,BBC Coburg,126,245,Bezirksliga,2003,Oberfranken
46.,Aas,Benjamin,SpVgg Rattelsdorf 2,126,245,Bezirksliga,2003,Oberfranken
47.,Fazlija,Lulzim,1. FC Baunach 2,125,245,Bezirksliga,2003,Oberfranken
48.,Herbst,Christian,BG Litzendorf,122,245,Bezirksliga,2003,Oberfranken
49.,Geiger,Florian,BBC Coburg,122,245,Bezirksliga,2003,Oberfranken
50.,Feulner,Marco,SpVgg Rattelsdorf 2,120,245,Bezirksliga,2003,Oberfranken
51.,Fröbel,Sebastian,BBC Coburg,116,245,Bezirksliga,2003,Oberfranken
52.,Weber,Florian,TTL Bamberg,112,245,Bezirksliga,2003,Oberfranken
53.,Khodadadi,Dawud,BBC Coburg,111,245,Bezirksliga,2003,Oberfranken
54.,Tadda,Walter,TSV Breitengüßbach 4,109,245,Bezirksliga,2003,Oberfranken
55.,Gunes,Ibrahim,BBC Coburg,106,245,Bezirksliga,2003,Oberfranken
56.,Lauterbach,Marc,VfL Jahn Bamberg,105,245,Bezirksliga,2003,Oberfranken
57.,Jungbauer,Christoph,ATS Kulmbach,103,245,Bezirksliga,2003,Oberfranken
58.,Böhm,Michael,BBC Coburg,98,245,Bezirksliga,2003,Oberfranken
59.,Hansl,Matthias,ATS Kulmbach,93,245,Bezirksliga,2003,Oberfranken
60.,Müller,Markus,VfL Jahn Bamberg,92,245,Bezirksliga,2003,Oberfranken
61.,Montag,Marc,SpVgg Rattelsdorf 2,88,245,Bezirksliga,2003,Oberfranken
62.,Wolf,Stephan,BG Litzendorf,86,245,Bezirksliga,2003,Oberfranken
63.,Wittmann,Andreas,BG Litzendorf,85,245,Bezirksliga,2003,Oberfranken
