lastname,firstname,team,points,games,liga_id,season,bezirk,spielklasse,altersklasse,geschlecht,league_full_name,kreis
45.,Meserth,Henry,BBC Bayreuth,3,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
46.,Giannulopulos,Christos,TSV Hirschaid,2,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
Statistikdaten (Saison: 2003/2004) - Senioren II (Ü35 Oberfranken)Team StatistikenBeste Werfer/innenTop 10Top 25AlleBeste Freiwerfer/innenTop 10mind. 10 TrefferTop 25mind. 5 TrefferAlleBeste 3er-Werfer/innenTop 10Top 25Alle,Statistikdaten (Saison: 2003/2004) - Senioren II (Ü35 Oberfranken),Statistikdaten (Saison: 2003/2004) - Senioren II (Ü35 Oberfranken),Team Statistiken,Beste Werfer/innen,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
Beste Werfer/innen,Top 10,Top 25,Alle,,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
Beste Freiwerfer/innen,Top 10mind. 10 Treffer,Top 25mind. 5 Treffer,Alle,,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
Beste 3er-Werfer/innen,Top 10,Top 25,Alle,,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
- alle Mannschaften -BBC BayreuthDJK BambergSC Kemmernabsolut /relativ10-25- alleStand: 05.02.2004,- alle Mannschaften -BBC BayreuthDJK BambergSC Kemmernabsolut /relativ10-25- alleStand: 05.02.2004,- alle Mannschaften -BBC BayreuthDJK BambergSC Kemmern,absolut /relativ,10-25- alle,262,2003,Oberfranken,Bezirksliga,Ü35,weiblich,Senorinnen II,
- alle Mannschaften -BBC BayreuthDJK BambergSC Kemmernabsolut /relativ10-25- alleStand: 05.02.2004,- alle Mannschaften -BBC BayreuthDJK BambergSC Kemmern,absolut /relativ,10-25- alle,Stand: 05.02.2004,262,2003,Oberfranken,Bezirksliga,Ü35,weiblich,Senorinnen II,
- alle Mannschaften -BBC BayreuthDJK BambergSC Kemmern,absolut /relativ,10-25- alle,Stand: 05.02.2004,,262,2003,Oberfranken,Bezirksliga,Ü35,weiblich,Senorinnen II,
1.,Reuß,Carmen,SC Kemmern,48,262,2003,Oberfranken,Bezirksliga,Ü35,weiblich,Senorinnen II,
2.,Maron,Birgit,BBC Bayreuth,47,262,2003,Oberfranken,Bezirksliga,Ü35,weiblich,Senorinnen II,
3.,Rosiwal,Silvia,DJK Bamberg,45,262,2003,Oberfranken,Bezirksliga,Ü35,weiblich,Senorinnen II,
4.,Ilmberger,Angelika,DJK Bamberg,36,262,2003,Oberfranken,Bezirksliga,Ü35,weiblich,Senorinnen II,
5.,Zink,Birgit,SC Kemmern,30,262,2003,Oberfranken,Bezirksliga,Ü35,weiblich,Senorinnen II,
6.,Frank,Susanne,BBC Bayreuth,28,262,2003,Oberfranken,Bezirksliga,Ü35,weiblich,Senorinnen II,
7.,Förner,Martina,SC Kemmern,28,262,2003,Oberfranken,Bezirksliga,Ü35,weiblich,Senorinnen II,
8.,Pautz,Urte,DJK Bamberg,23,262,2003,Oberfranken,Bezirksliga,Ü35,weiblich,Senorinnen II,
9.,Albrecht,Claudia,SC Kemmern,22,262,2003,Oberfranken,Bezirksliga,Ü35,weiblich,Senorinnen II,
10.,Kirsch,Stephanie,BBC Bayreuth,20,262,2003,Oberfranken,Bezirksliga,Ü35,weiblich,Senorinnen II,
11.,Öhlein,Birgit,DJK Bamberg,20,262,2003,Oberfranken,Bezirksliga,Ü35,weiblich,Senorinnen II,
12.,Schreiner,Petra,DJK Bamberg,20,262,2003,Oberfranken,Bezirksliga,Ü35,weiblich,Senorinnen II,
13.,Meixner,Jutta,BBC Bayreuth,18,262,2003,Oberfranken,Bezirksliga,Ü35,weiblich,Senorinnen II,
14.,Zink,Jutta,SC Kemmern,14,262,2003,Oberfranken,Bezirksliga,Ü35,weiblich,Senorinnen II,
15.,Mayer,Brigitte,SC Kemmern,12,262,2003,Oberfranken,Bezirksliga,Ü35,weiblich,Senorinnen II,
16.,Uch,Andrea,SC Kemmern,12,262,2003,Oberfranken,Bezirksliga,Ü35,weiblich,Senorinnen II,
17.,Weig,Susanne,SC Kemmern,10,262,2003,Oberfranken,Bezirksliga,Ü35,weiblich,Senorinnen II,
18.,Kröner,Birgit,DJK Bamberg,8,262,2003,Oberfranken,Bezirksliga,Ü35,weiblich,Senorinnen II,
19.,Ullein,Sabine,DJK Bamberg,8,262,2003,Oberfranken,Bezirksliga,Ü35,weiblich,Senorinnen II,
20.,Uch,Christine,SC Kemmern,6,262,2003,Oberfranken,Bezirksliga,Ü35,weiblich,Senorinnen II,
21.,Weiss,Jutta,DJK Bamberg,2,262,2003,Oberfranken,Bezirksliga,Ü35,weiblich,Senorinnen II,
22.,Babler,Beate,BBC Bayreuth,2,262,2003,Oberfranken,Bezirksliga,Ü35,weiblich,Senorinnen II,
23.,Kawan,Christine,BBC Bayreuth,2,262,2003,Oberfranken,Bezirksliga,Ü35,weiblich,Senorinnen II,
Statistikdaten (Saison: 2003/2004) - Senorinnen II (Ü35 Oberfranken)Team StatistikenBeste Werfer/innenTop 10Top 25AlleBeste Freiwerfer/innenTop 10mind. 10 TrefferTop 25mind. 5 TrefferAlleBeste 3er-Werfer/innenTop 10Top 25Alle,Statistikdaten (Saison: 2003/2004) - Senorinnen II (Ü35 Oberfranken),Statistikdaten (Saison: 2003/2004) - Senorinnen II (Ü35 Oberfranken),Team Statistiken,Beste Werfer/innen,262,2003,Oberfranken,Bezirksliga,Ü35,weiblich,Senorinnen II,
Beste Werfer/innen,Top 10,Top 25,Alle,,262,2003,Oberfranken,Bezirksliga,Ü35,weiblich,Senorinnen II,
Beste Freiwerfer/innen,Top 10mind. 10 Treffer,Top 25mind. 5 Treffer,Alle,,262,2003,Oberfranken,Bezirksliga,Ü35,weiblich,Senorinnen II,
Beste 3er-Werfer/innen,Top 10,Top 25,Alle,,262,2003,Oberfranken,Bezirksliga,Ü35,weiblich,Senorinnen II,
- alle Mannschaften -ATS KulmbachBBC CoburgBG LitzendorfBSC Saas BayreuthSpVgg Rattelsdorf 2TSV Breitengüßbach 4TTL BambergVfL Jahn Bamberg1. FC Baunach 21.FC 01 Bambergabsolut /relativ10-25- alleStand: 31.03.2004,- alle Mannschaften -ATS KulmbachBBC CoburgBG LitzendorfBSC Saas BayreuthSpVgg Rattelsdorf 2TSV Breitengüßbach 4TTL BambergVfL Jahn Bamberg1. FC Baunach 21.FC 01 Bambergabsolut /relativ10-25- alleStand: 31.03.2004,- alle Mannschaften -ATS KulmbachBBC CoburgBG LitzendorfBSC Saas BayreuthSpVgg Rattelsdorf 2TSV Breitengüßbach 4TTL BambergVfL Jahn Bamberg1. FC Baunach 21.FC 01 Bamberg,absolut /relativ,10-25- alle,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
- alle Mannschaften -ATS KulmbachBBC CoburgBG LitzendorfBSC Saas BayreuthSpVgg Rattelsdorf 2TSV Breitengüßbach 4TTL BambergVfL Jahn Bamberg1. FC Baunach 21.FC 01 Bambergabsolut /relativ10-25- alleStand: 31.03.2004,- alle Mannschaften -ATS KulmbachBBC CoburgBG LitzendorfBSC Saas BayreuthSpVgg Rattelsdorf 2TSV Breitengüßbach 4TTL BambergVfL Jahn Bamberg1. FC Baunach 21.FC 01 Bamberg,absolut /relativ,10-25- alle,Stand: 31.03.2004,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
- alle Mannschaften -ATS KulmbachBBC CoburgBG LitzendorfBSC Saas BayreuthSpVgg Rattelsdorf 2TSV Breitengüßbach 4TTL BambergVfL Jahn Bamberg1. FC Baunach 21.FC 01 Bamberg,absolut /relativ,10-25- alle,Stand: 31.03.2004,,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
1.,Eidelloth,David,VfL Jahn Bamberg,428,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
2.,Lange,Michael,1.FC 01 Bamberg,407,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
3.,Lohneis,Rüdiger,TSV Breitengüßbach 4,403,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
4.,Wich,Alexander,ATS Kulmbach,388,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
5.,Kapp,Jürgen,VfL Jahn Bamberg,340,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
6.,Mobery,Thomas,BG Litzendorf,334,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
7.,Budig,Christoph,SpVgg Rattelsdorf 2,322,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
8.,Goppert,Wolfgang,TSV Breitengüßbach 4,321,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
9.,Wiesner,Holger,ATS Kulmbach,313,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
10.,Jakob,Martin,TTL Bamberg,298,245,2003,Oberfranken,Bezirksliga,Senioren,männlich,Bezirksliga Herren,
